id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731326_11,https://www.fincaraiz.com.co/casa-en-venta-en-latino-cucuta/192159759,6,2,225,1.000.000.000,2025-07-28 14:35:26.245601,Usado,"Latino, Cúcuta, Norte de santander",7.8894026,-72.5017211
P1753731328_12,https://www.fincaraiz.com.co/casa-en-venta-en-la-cabrera-cucuta/192158579,3,4,115,255.000.000,2025-07-28 14:35:28.828238,Usado,"La cabrera, Cúcuta, Norte de santander",7.8793083938814,-72.505342540207
P1753731331_13,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/192158693,6,3,600,1.200.000.000,2025-07-28 14:35:31.207296,Usado,"Quinta oriental, Cúcuta, Norte de santander",7.8999098610894,-72.48845535225
P1753731333_14,https://www.fincaraiz.com.co/casa-en-venta-en-lleras-restrepo-cucuta/192159653,12,6,500,1.300.000.000,2025-07-28 14:35:33.877298,Usado,"Lleras restrepo, Cúcuta, Norte de santander",7.8953192,-72.4988699
P1753731336_15,https://www.fincaraiz.com.co/casa-en-venta-en-los-acacios-cucuta/192346805,8,5,197,630.000.000,2025-07-28 14:35:36.604050,Usado,"Los acacios, Cúcuta, Norte de santander",7.9062,-72.48927
P1753731339_16,https://www.fincaraiz.com.co/casa-en-venta-en-el-llano-cucuta/192159419,10,8,416,800.000.000,2025-07-28 14:35:39.151876,Usado,"El llano, Cúcuta, Norte de santander",7.8861122166046,-72.512024883181
P1753731341_17,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/192158134,4,3,165,350.000.000,2025-07-28 14:35:41.654198,Usado,"La playa, Cúcuta, Norte de santander",7.882060013498,-72.503027915955
P1753731344_18,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158164,3,2,108,380.000.000,2025-07-28 14:35:44.581253,Usado,"Cúcuta, Norte de santander",7.9048542562105,-72.490458360572
P1753731347_19,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-bosch-cucuta/192159589,5,5,300,600.000.000,2025-07-28 14:35:47.140673,Usado,"Quinta bosch, Cúcuta, Norte de santander",7.8985163308868,-72.497577667236
P1753731350_20,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192159896,6,4,96,360.000.000,2025-07-28 14:35:50.493291,Usado,"Cúcuta, Norte de santander",7.9063901841522,-72.48655925926
P1753731363_0,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/192158759,4,4,150,460.000.000,2025-07-28 14:36:03.492260,Usado,"Ceiba ii, Cúcuta, Norte de santander",7.9054957691472,-72.496802386704
P1753731366_1,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/7772390,3,4,143,390.000.000,2025-07-28 14:36:06.340227,Usado,"La playa, Cúcuta, Norte de santander",7.88361620507596,-72.4998095858287
P1753731368_2,https://www.fincaraiz.com.co/casa-en-venta-en-san-luis-cucuta/192158165,3,2,72,360.000.000,2025-07-28 14:36:08.407149,Usado,"San luis, Cúcuta, Norte de santander",7.9013237959246,-72.480585062912
P1753731370_3,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/192159743,4,3,585,900.000.000,2025-07-28 14:36:10.782920,Usado,"Ceiba ii, Cúcuta, Norte de santander",7.8946813361383,-72.503829591624
P1753731372_4,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/192158730,4,3,230,430.000.000,2025-07-28 14:36:12.941752,Usado,"La playa, Cúcuta, Norte de santander",7.8835773240484,-72.497124251786
P1753731375_5,https://www.fincaraiz.com.co/casa-en-venta-en-tasajero-cucuta/192158622,5,4,99,350.000.000,2025-07-28 14:36:15.378813,Usado,"Tasajero, Cúcuta, Norte de santander",7.9217473779348,-72.491309222642
P1753731377_6,https://www.fincaraiz.com.co/casa-en-venta-en-blanco-cucuta/192159662,3,3,300,900.000.000,2025-07-28 14:36:17.569687,Usado,"Blanco, Cúcuta, Norte de santander",7.8765339,-72.4980711
